,arabic,english
28310,‏‫كيف تغيّرت حياتك؟‬‏,How has your life changed?
28311,احب ان اخبز.,I love to bake.
28312,امي تطبخ الكعك.,My mother bakes cakes.
28313,هل تخبز خبز؟,Do you bake bread?
28314,هل تخبزي خبز؟,Do you bake bread?
28315,ماذا تخبز؟,What are you baking?
28316,اين خبزتهم؟,Where did you bake them?
28317,الهلال و النجمه هما رمزان للاسلام.,The star and crescent are the symbol of Islam.
28318,الهلال و النجمه هما رمز الاسلام.,The star and crescent are the symbol of Islam.
28319,الهلال و النجمه هما رمزان للاسلام.,The crescent moon and star is a symbol of Islam.
28320,الهلال و النجمه هما رمز الاسلام.,The crescent moon and star is a symbol of Islam.
28321,افتح الفرن,Open the oven.
28322,اقلي لي بيضة.,Fry me an egg.
28323,احب قلي السمك.,I like to fry fish.
28324,دمي يغلي.,My blood boiled.
28325,إيران ليست العراق.,Iran is not Iraq.
28326,العربية تشبه العبرية.,Arabic is similar to Hebrew.
28327,رمضان مبارك.,Happy Ramadan.
28328,رمضان مبارك.,Ramadan Mubarak.
28329,سأتصل بك.,I'll contact you.
28330,أريد أن أشتري منزلًا,I want to buy a house.
28331,بماذا توصي؟,What do you suggest?
28332,القطّة تموء.,The cat is meowing.
28333,جعلته يفتح الباب.,I made him open the door.
28334,ليلى عاهرة.,Layla is a whore.
28335,أنا امرأة قوية.,I'm a strong woman.
28336,دونالد ترامب كذاب بصفة مرضية.,Donald Trump is a pathological liar.
28337,"مرحبا, كيف حالك؟","Hello, how are you?"
28338,كان سامي مصاب بالكذب المرضي,Sami was a pathological liar.
28339,الحرّيّة لفلسطين.,Freedom for Palestine!
28340,اَلشَمْسُ تَصْهَرُ الثَلْجَ.,The sun melts the snow.
28341,أنا فلسطيني.,I'm Palestinian.
28342,إنها تفاحة جون.,It is John's apple.
28343,إنها تفاحة جون.,It's John's apple.
28344,انا اريد تعلم الانجليزية,I want to learn English.
28345,هم مدمنو الكحول.,They are alcoholics.
28346,هم مدمنو الكحول.,They're alcoholics.
28347,هن مدمنات الكحول.,They're alcoholics.
28348,هن مدمنات الكحول.,They are alcoholics.
28349,يا عمال العالم، اتحدوا!,"Workers of the world, unite!"
28350,يا عمال العالم، اتحدوا!,Workers of the world - unite!
28351,ليس لدى البروليتاريا شيء تفقده سوى قيودها.,The proletariat has nothing to lose but its chains.
28352,ليس لدى البروليتاريا شيء تفقده سوى قيودها.,The proletarians have nothing to lose but their chains.
28353,لا أحد يعرف كيف مات أدولف هيتلر.,Nobody knows how Adolf Hitler died.
28354,لا ترمي الناس بالحجارة وبيتك من زجاج.,Those who live in glass houses shouldn't throw stones.
28355,أكره المنافقين.,I hate hypocrites.
28356,ياني مدمن على الميث.,Yanni is a meth addict.
28357,الحرّيّة لكردستان!,Free Kurdistan!
28358,في النمسا هناك الكوالا‎.,There are koalas in Austria.
28359,في أستراليا هناك الكوالا‎.,There are koalas in Australia.
28360,أنا عبقري مستقر جدا.,I'm a very stable genius.
28361,أوميد بهائي.,Omid is Baha'i.
28362,أوميد بهائي.,Omid is Bahá'í.
28363,شكراً!,Ta!
28364,فزت باليانصيب.,I won the lottery.
28365,توم فاز باليانصيب.,Tom won the lottery.
28366,أنا أريد ببغاءًا.,I want a parrot.
28367,لقد أنهيت العمل في أقل من ساعة,I finished the work in less than an hour.
28368,لقد حياها بسرور كما عادته.,She greeted him cheerfully as she always did.
28369,هل غسلت أسنانك قط؟,Have you ever brushed your teeth?
28370,لا أستطيع أن أصدق أنني جعلته يبكي,I can't believe I made him cry.
28371,ربما أنت المشكلة يا توم!,"Maybe the problem is you, Tom."
28372,ربما أنت المشكلة يا توم!,"Maybe you're the problem, Tom!"
28373,قابلني هذه الليلة,Meet me tonight.
28374,كم عمر بلاد القبائل؟,How old is Kabylia?
28375,دونالد ترامب لم ينتخب ديمقراطيا.,Donald Trump was not elected democratically.
28376,يشربون الحليب.,They drink milk.
28377,يشربن الحليب.,They drink milk.
28378,يشربن الحليب.,They're drinking milk.
28379,يشربون الحليب.,They're drinking milk.
28380,ستكون مشغولاً في الغد.,You'll be busy tomorrow.
28381,نحن سنعيش أطول منهم.,We will outlive them.
28382,إنه صحفي جزائري.,He's an Algerian journalist.
28383,هل دونالد ترامب معادي للإسلام؟,Is Donald Trump Islamophobic?
28384,حياة السود مهمة.,Black lives matter.
28385,هذه مشكلة خطيرة.,That's a serious problem.
28386,أحتاج سيفا.,I need a sword.
28387,الإسلام لم ينتشر بالسيف.,Islam isn't spread by the sword.
28388,غادِر منزلك.,Leave your house.
28389,سامي سيخي.,Sami is a Sikh.
28390,القبائل مسلمون.,Kabyles are Muslims.
28391,أنا مسلم.,I'm Muslim.
28392,أنا مسلمة.,I'm Muslim.
28393,الأمازيغ مسلمون.,Berbers are Muslims.
28394,هل أنتم مسلمون؟,Are you Muslims?
28395,المسلمون يحبون عيسى.,Muslims love Jesus.
28396,يبدو مسلما.,He looks Muslim.
28397,نحن مسلمون.,We are Muslim.
28398,أحترم المسلمين.,I respect Muslims.
28399,المسلمون يعبدون الله.,Muslims worship Allah.
28400,توم مسلم.,Tom is a Muslim.
28401,سامي ليس سيخي.,Sami is not a Sikh.
28402,السيخيون يلبسون العمامات.,Sikhs wear turbans.
28403,السيخ يلبسون العمامات.,Sikhs wear turbans.
28404,ليس عليك أن تدرس علم اللاهوت لتكون مؤمنا.,You don't have to study theology to be a believer.
28405,تعيش ليلى في حلب، سوريا.,"Layla lives in Aleppo, Syria."
28406,يعيش سامي في حلب، سوريا.,"Sami lives in Aleppo, Syria."
28407,أعيش في حلب، سوريا.,"I live in Aleppo, Syria."
28408,أعيش في طرابلس، لبنان.,"I live in Tripoli, Lebanon."
28409,سامي يعيش في حمص، سوريا.,"Sami lives in Homs, Syria."
28410,أعيش في طرابلس، ليبيا.,"I live in Tripoli, Libya."
28411,الإمبراطور أقسم أن سيسحق الانفصاليين نهائيا.,The emperor swore to crush the separatists once and for all.
28412,أتحدث لغة إيدو.,I speak Ido.
28413,الجزائر ليست بلد رأسمالي.,Algeria isn't a capitalist country.
28414,لا أستطيع التنفس.,I can't breathe.
28415,لا أستطيع التنفس!,I can't breathe!
28416,سامي لا يستطيع التنفس.,Sami can't breathe.
28417,توم لا يستطيع التنفس.,Tom can't breathe.
28418,لا يستطيع التنفس.,He can't breathe.
28419,هتلر حلم بتحالف مع الإمبراطورية البريطانية.,Hitler dreamt of an alliance with the British Empire.
28420,هتلر كره اليهود.,Hitler hated the Jews.
28421,لم يكن هتلر يكره اليهود فقط.,Hitler didn't only hate Jews.
28422,أُحب اللغات السامية.,I love Semitic languages.
28423,هتلر ولد ونشأ في النمسا.,Hitler was born and raised in Austria.
28424,هتلر ولد ونشأ في النمسا.,Hitler was born and grew up in Austria.
28425,أخي مصاب بالتوحد.,My brother has autism.
28426,أُحب اللغات الرومانيقية.,I love Romance languages.
28427,توم مصاب بالثلاسيميا.,Tom has thalassemia.
28428,هل يؤمن المسلمون بموسى؟,Do Muslims believe in Moses?
28429,نحن المسلمون نؤمن بعيسى وموسى.,We Muslims believe in Jesus and Moses.
28430,موسى عليه السلام كان رسولا من عند الله.,"Moses, peace be upon him, was a messenger of God."
28431,سامي يؤمن بآدم، إبراهيم، إسحاق، إسماعيل، موسى، عيسى، ومحمد.,"Sami believes in Adam, Abraham, Isaac, Ishmael, Moses, Jesus, and Muhammad."
28432,جايكوب يهودي علماني.,Jacob is a secular Jew.
28433,جايكوب يهودي لائكي.,Jacob is a secular Jew.
28434,يعقوب يهودي لائكي.,Jacob is a secular Jew.
28435,يعقوب يهودي لائكي.,Yaakov is a secular Jew.
28436,يعقوب يهودي لائكي.,Yankev is a secular Jew.
28437,ميكائيل، جبرائيل، يوريل و رفائيل هم الملائكة المذكورين في التلمود.,"Michael, Gabriel, Uriel, and Raphael are the four archangels mentioned in the Talmud."
28438,ميكائيل، جبرائيل، يوريل و إسرافيل هم الملائكة المذكورين في التلمود.,"Michael, Gabriel, Uriel, and Raphael are the four archangels mentioned in the Talmud."
28439,هل تعرف سفينة نوح؟,Do you know Noah's ark?
28440,محمد هو خاتم رسل الله.,Muhammad is the last messenger of God.
28441,هارون نبي و هو الأخ الأكبر لموسى في الديانات الإبراهيمية.,"Aaron was a prophet, and the elder brother of Moses in the Abrahamic religions."
28442,هارون و أخوه موسى نبيان من عند الله.,Aaron and his brother Moses were prophets of God.
28443,هل تعرفين سفينة نوح؟,Do you know Noah's ark?
28444,هل تعرفون سفينة نوح؟,Do you know Noah's ark?
28445,هل تعرفن سفينة نوح؟,Do you know Noah's ark?
28446,يحيى وأبوه زكريا نبيان من عند الله.,John and his father Zechariah were prophets of God.
28447,هارون بن عمران، هو نبي الله.,"Aaron, the son of Amram, is a prophet of God."
28448,يؤمن المسلمون أن عيسى ابن مريم نبي الله.,"Muslims believe that Jesus, the son of Mary, was a prophet of God."
28449,محمد رسول الله.,Muhammad is God's messenger.
28450,محمد هو رسول الله.,Muhammad is the messenger of God.
28451,عيسى رسول من الله.,Jesus is a messenger of God.
28452,محمد وعيسى رسولا الله.,Muhammad and Jesus are God's messengers.
28453,إلياس نبي من عند الله.,Elijah is a prophet of God.
28454,"إذا لم أكن لنفسي, فمن سيكون لي? وإذا كنت فقط لنفسي, فماذا انا؟","If I am not for myself, who will be for me? But if I am for myself only, what am I?"
28455,يمكن أن أقف في منتصف الجادة الخامسة وأطلق النار على شخص ما ولن أفقد أي ناخبين.,"I could stand in the middle of Fifth Avenue and shoot somebody, and I wouldn't lose any voters."
28456,اليهودية جميلة.,Judaism is beautiful.
28457,الإسلام جميل.,Islam is beautiful.
